os_version	os_build	perl_version	available_perl_versions
10.11.6	15G31	5.18	5.16|5.18
10.11.5	15F34	5.18	5.16|5.18
10.11.4	15E65	5.18	5.16|5.18
10.11.3	15D21	5.18	5.16|5.18
10.11.2	15C50	5.18	5.16|5.18
10.11.1	15B42	5.18	5.16|5.18
10.11	15A284	5.18	5.16|5.18
10.10.5	14F27	5.18	5.16|5.18
10.10.4	14E46	5.18	5.16|5.18
10.10.3	14D136	5.18	5.16|5.18
10.10.2	14C109	5.18	5.16|5.18
10.10.1	14B25	5.18	5.16|5.18
10.10	14A389	5.18	5.16|5.18
10.9.5	13F34	5.16	5.12|5.16
10.9.4	13E28	5.16	5.12|5.16
10.9.3	13D65	5.16	5.12|5.16
10.9.2	13C64	5.16	5.12|5.16
10.9.1	13B42	5.16	5.12|5.16
10.9	13A603	5.16	5.12|5.16
10.8.5	12F37	5.12	5.10|5.12
10.8.4	12E55	5.12	5.10|5.12
10.8.3	12D78	5.12	5.10|5.12
10.8.2	12C54	5.12	5.10|5.12
10.8.1	12B19	5.12	5.10|5.12
10.8	12A269	5.12	5.10|5.12
10.7.5	11G56	5.12	5.10|5.12
10.7.4	11E53	5.12	5.10|5.12
10.7.3	11D50	5.12	5.10|5.12
10.7.2	11C74	5.12	5.10|5.12
10.7.1	11B26	5.12	5.10|5.12
10.7	11A511a	5.12	5.10|5.12
10.6.8	10K540	5.10	5.10|5.8
10.6.7	10J869	5.10	5.10|5.8
10.6.6	10J567	5.10	5.10|5.8
10.6.5	10H574	5.10	5.10|5.8
10.6.4	10F569	5.10	5.10|5.8
10.6.3	10D573	5.10	5.10|5.8
10.6.2	10C540	5.10	5.10|5.8
10.6.1	10B504	5.10	5.10|5.8
10.6	10A432	5.10	5.10|5.8
10.5.8	9L30	5.6.0	
10.5.7	9J61	5.6.0	
10.5.6	9G55	5.6.0	
10.5.5	9F33	5.6.0	
10.5.4	9E17	5.6.0	
10.5.3	9D34	5.6.0	
10.5.2	9C31	5.6.0	
10.5.1	9B18	5.6.0	
10.5	9A581	5.6.0	
10.4.3	8F46	5.6.0	
10.4.2	8C46	5.6.0	
10.4.1	8B15	5.6.0	
10.4	8A428	5.6.0	
10.3.9	7W98	5.6.0	
10.3.8	7U16	5.6.0	
10.3.7	7S215	5.6.0	
10.3.6	7R28	5.6.0	
10.3.5	7M34	5.6.0	
10.3.4	7H63	5.6.0	
10.3.3	7F44	5.6.0	
10.3.2	7D24	5.6.0	
10.3.1	7C107	5.6.0	
10.3	7B85	5.6.0	
10.2.8	6R73	5.6.0	
10.2.7	6S80	5.6.0	
10.2.6	6L60	5.6.0	
10.2.5	6L29	5.6.0	
10.2.4	6I32	5.6.0	
10.2.3	6G30	5.6.0	
10.2.2	6F21	5.6.0	
10.2.1	6D52	5.6.0	
10.2	6C115	5.6.0	
10.1.5	5S60	5.6.0	
10.1.4	5Q125	5.6.0	
10.1.3	5Q45	5.6.0	
10.1.2	5P48	5.6.0	
10.1.1	5M45	5.6.0	
10.1	5G64	5.6.0	
10.0.4	4Q12	5.6.0	
10.0	4K78	5.6.0	
