os_version	os_build	apple_perl_build
10.11.6	15G31	104
10.11.5	15F34	104
10.11.4	15E65	104
10.11.3	15D21	104
10.11.2	15C50	104
10.11.1	15B42	104
10.11	15A284	104
10.10.5	14F27	103.40.1
10.10.4	14E46	103
10.10.3	14D136	103
10.10.2	14C109	103
10.10.1	14B25	103
10.10	14A389	103
10.9.5	13F34	92
10.9.4	13E28	92
10.9.3	13D65	92
10.9.2	13C64	92
10.9.1	13B42	92
10.9	13A603	92
10.8.5	12F37	77.2
10.8.4	12E55	77.2
10.8.3	12D78	77.2
10.8.2	12C54	77.2
10.8.1	12B19	77.2
10.8	12A269	77.2
10.7.5	11G56	73
10.7.4	11E53	73
10.7.3	11D50	73
10.7.2	11C74	73
10.7.1	11B26	73
10.7	11A511a	73
10.6.8	10K540	63
10.6.7	10J869	63
10.6.6	10J567	63
10.6.5	10H574	63
10.6.4	10F569	63
10.6.3	10D573	63
10.6.2	10C540	63
10.6.1	10B504	63
10.6	10A432	63
10.5.8	9L30	51.1.4
10.5.7	9J61	51.1.4
10.5.6	9G55	51.1.2
10.5.5	9F33	51.1.2
10.5.4	9E17	51.1.2
10.5.3	9D34	51.1.2
10.5.2	9C31	51.1.2
10.5.1	9B18	51
10.5	9A581	51
10.4.3	8F46	35
10.4.2	8C46	35
10.4.1	8B15	35
10.4	8A428	35
10.3.9	7W98	25.2
10.3.8	7U16	25.2
10.3.7	7S215	25.2
10.3.6	7R28	25.2
10.3.5	7M34	25.2
10.3.4	7H63	25.2
10.3.3	7F44	25.2
10.3.2	7D24	25.2
10.3.1	7C107	25.2
10.3	7B85	25.2
10.2.8	6R73	21
10.2.7	6S80	21
10.2.6	6L60	21
10.2.5	6L29	21
10.2.4	6I32	21
10.2.3	6G30	21
10.2.2	6F21	21
10.2.1	6D52	21
10.2	6C115	21
10.1.5	5S60	17.1
10.1.4	5Q125	17.1
10.1.3	5Q45	17.1
10.1.2	5P48	17.1
10.1.1	5M45	17.1
10.1	5G64	17.1
10.0.4	4Q12	17
10.0	4K78	17
